global_sweep,window,window_sweep,degree_min,degree_max,window_terms,cumulative_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,is_best
566,2,186,2,7,116,120,4.00217623970311e-05,3.58354472688242e-05,0.006247285825803071,0.000717584032420349,0.0007001910536024346,0.0002176347182681337,0.0001403419414275795,0.00021732545801898877,0.00014432293174190054,0.000336346153114944,1
567,2,187,2,7,116,120,4.000006551440335e-05,3.58118528759802e-05,0.0062472745557427345,0.0007167561912982048,0.0006992865610280587,0.0002174161936230099,0.00014004576113799542,0.00021647624109548053,0.00014443712272305028,0.0003367239270133731,1
568,2,188,2,7,116,120,3.997844639952595e-05,3.578834868052274e-05,0.006247263163865059,0.0007159295231191449,0.0006983833443625381,0.00021719808182821696,0.00013974870855432595,0.00021563139104394878,0.00014454461139955035,0.0003370847809149093,1
569,2,189,2,7,116,120,3.995690392022335e-05,3.576493340568891e-05,0.006247251652364093,0.0007151040204049281,0.000697481399805079,0.00021698037934691296,0.00013945084219317555,0.0002147909202246945,0.00014464554037536047,0.0003374290571892676,1
570,2,190,2,7,116,120,3.9935436976032415e-05,3.5741605802436856e-05,0.006247240023401973,0.000714279675815721,0.0006965807236487649,0.00021676308272491787,0.00013915222060715925,0.00021395484339160263,0.00014474004931629841,0.00033775709142438634,1
571,2,191,2,7,116,120,3.991404449714443e-05,3.5718364648888016e-05,0.00624722827910936,0.0007134564821474642,0.0006956813122775476,0.00021654618858853362,0.00013885289902436143,0.00021312317017414231,0.00014482827438168293,0.0003380692111531062,1
572,2,192,2,7,116,120,3.989272544337914e-05,3.569520874976379e-05,0.006247216421585803,0.000712634432328871,0.0006947831621630298,0.00021632969364233302,0.00013855293289939628,0.00021229591289915358,0.00014491034924239682,0.0003383657381366079,1
573,2,193,2,7,116,120,3.987147880319926e-05,3.567213693584588e-05,0.006247204452900146,0.0007118135194185396,0.000693886269861641,0.0002161135946670632,0.0001382523756661241,0.00021147308158526816,0.0001449864043271307,0.00033864698667340916,1
574,2,194,2,7,116,120,3.985030359276392e-05,3.564914806343252e-05,0.006247192375090928,0.0007109937366023553,0.0006929906320118525,0.00021589788851761723,0.00013795127919558067,0.00021065468488440874,0.0001450565673211399,0.0003389132647151492,1
575,2,195,2,7,116,120,3.982919885501188e-05,3.56262410138127e-05,0.006247180190166757,0.0007101750771908402,0.0006920962453314232,0.00021568257212105092,0.00013764969429455883,0.00020984073113319238,0.00014512096304756194,0.00033916487360699933,1
576,2,196,2,7,116,120,3.980816365878652e-05,3.5603414692744646e-05,0.006247167900106717,0.0007093575346163856,0.0006912031066147867,0.00021546764247464838,0.00013734767066335773,0.00020903122820924912,0.00014517971368417697,0.00033940210855853433,1
577,2,197,2,7,116,120,3.9787197097978215e-05,3.55806680299392e-05,0.0062471555068607625,0.0007085411024308335,0.0006903112127303865,0.00021525309664403942,0.0001370452564609061,0.00020822618254274757,0.00014523293885288852,0.00033962525885517425,1
578,2,198,2,7,116,120,3.9766298290713526e-05,3.555799997856236e-05,0.006247143012350128,0.0007077257743029419,0.0006894205606184613,0.0002150389317614162,0.00013674249885305768,0.00020742560027953727,0.00014528075546976733,0.0003398346075196701,1
579,2,199,2,7,116,120,3.9745466378562024e-05,3.5535409514731e-05,0.006247130418467691,0.0007069115440159014,0.0006885311472882751,0.00021482514502371068,0.00013643944377661216,0.00020662948667840691,0.00014532327792337221,0.0003400304317090381,1
580,2,200,2,7,116,120,3.972470052578482e-05,3.5512895637030626e-05,0.006247117727078367,0.0007060984054650558,0.0006876429698161672,0.00021461173369093775,0.0001361361354236864,0.00020583784500776393,0.00014536061831332177,0.0003402130032533016,1
581,2,201,2,7,116,120,3.97039999185876e-05,3.5490457366034945e-05,0.006247104940019509,0.0007052863526555156,0.0006867560253430551,0.00021439869508447964,0.0001358326177265191,0.00020505067969023806,0.00014539288628693782,0.0003403825882876081,1
